Huang_Roy_tree_name	all_weighted_unifrac_ordination_PC1	all_weighted_unifrac_ordination_PC2	all_weighted_unifrac_ordination_PC3
ACR_Acropora	-0.4256352855244315	0.25684268233656765	0.26070402122665576
ACR_Acropora_cytherea	-0.5470861152445418	0.17315763634111775	0.1836835910494611
ACR_Acropora_humilis	-0.06018772095677769	0.16509429220212987	-0.1049528107647779
ACR_Acropora_hyacinthus	-0.654765342604925	0.2745779972047404	-0.08435401410188215
ACR_Isopora_palifera	-0.12649295187185433	-0.0677539517253875	0.147029911981083
ACR_Montipora	-0.4839899011401045	0.11756594149861795	0.03810055282779281
ACR_Montipora_aequituberculata	-0.21863726184921	0.0035587729449394418	0.030999176171249507
ACR_Montipora_hispida	-0.6638815617998777	0.33128915000508474	-0.04410589967189595
AGA_Gardineroseris_planulata	0.38059398416517853	-0.04632953746165572	-0.2846038075162411
AGA_Pachyseris	-0.3279747179539342	0.12635649179765174	-0.11131354510253305
AGA_Pavona	0.0548852522537432	-0.039115352618063155	-0.11109064549795428
AGA_Pavona_clavus	-0.10951805538477033	-0.097456165079405	-0.05402202309292399
AGA_Pavona_frondifera	0.6987354629182095	0.1637242123501882	-0.2424907487994127
AGA_Pavona_varians	0.25356945334064485	-0.03760476220458122	-0.03176869920614147
AST_Stephanocoenia_intersepta	-0.053899536844955236	-0.34074927207464084	0.07770551731956789
DEN	0.24940665385933988	0.20993954214915242	-0.19828741613713713
DEN_Dendrophyllia	0.4233879624392867	0.16700945215051208	-0.19604225929285568
DEN_Tubastraea	0.3715693865340844	0.27328486957216436	0.016870650594524462
DEN_Turbinaria	0.14718286020725913	-0.04255083469982728	-0.15013380521446246
EUP_Physogyra_lichtensteini	-0.20495340383154143	0.22102434376634336	-0.06204258900737145
EUP_Plerogyra	0.26183209904193216	0.19920074297231585	0.20167461181660035
FAV	-0.10583736892220737	-0.04820549326480824	-0.21423566600224492
FAV_Caulastraea_furcata	0.2698095644457483	-0.12663382804311693	-0.3183083077007081
FAV_Cyphastrea	0.28398398623638527	-0.11766968252167165	0.009909325678900337
FAV_Cyphastrea_micropthalma	-0.22572856155998663	-0.26267779775983646	0.03258868236870994
FAV_Cyphastrea_serailia	-0.1691652335848047	-0.13637352499025834	0.6578731500996302
FAV_Diploastrea_heliopora	0.2293809147698682	-0.02376431474830213	-0.09365015997129063
FAV_Diploria_labyrinthiformis	0.2055937336192452	0.05952076789933157	-0.06340756992684463
FAV_Echinopora_horrida	-0.3305137500131069	0.14856152012886403	-0.23199535408272912
FAV_Echinopora_lamellosa	-0.1444824314182061	-0.024937232294984065	-0.029341869244992727
FAV_Echinopora_mammiformis	-0.22991183492392894	-0.1295705137168635	-0.14082028595501284
FAV_Favia_pallida	-0.04215541879119008	-0.10572419881163819	0.09728671740952252
FAV_Favites	0.2140091288290202	-0.19880485117764954	0.03627537642524408
FAV_Favites_abdita	0.07794675848908408	-0.4091381602288496	-0.09756548009213874
FAV_Goniastrea	0.49702449411070154	0.1927664211556307	0.12899750731802095
FAV_Goniastrea_edwardsi	0.19412343766718598	-0.3246069419669136	-0.31917411786354716
FAV_Goniastrea_favulus	0.47369629651174333	-0.2604414903065822	-0.15080230270875522
FAV_Leptastrea_transversa	1.1056437441057785	0.4078200090152139	-0.07510398958586945
FAV_Leptoria_phrygia	-0.0896355974937213	0.1389846644156004	-0.05826356400590151
FAV_Montastraea_annularis	-0.42837149617879616	0.07632645641993095	0.02482457587522663
FAV_Montastraea_cavernosa	-0.7046673982062108	0.3105486557013432	-0.012555320449597692
FAV_Montastraea_curta	-0.23575219079656476	-0.1662969714873659	-0.03719623937786603
FAV_Montastraea_faveolata	0.13094293936711007	-0.050424787905790844	0.05849257240202202
FAV_Platygyra_daedalea	0.060051181834779734	0.1777665105073324	0.16024563883367157
FAV_Platygyra_sinensis	-0.07310049046984089	-0.3681621475671691	0.11775756873867874
FAV_Scolymia	0.3722301258792114	0.015977886205992983	0.060399967654345056
FUN	0.07054536428937601	-0.006908313393324687	0.06107398816157623
FUN_Ctenactis_echinata	-0.16333602693246888	-0.10279915365982689	0.21839371594033685
FUN_Danafungia_scruposa	-0.39696683238234504	0.014459886278792558	0.07119755716427263
FUN_Herpolitha_limax	-0.1350285776646678	0.0766580995921595	-0.0501192513008154
FUN_Lithophyllon_repanda	-0.1034695145897618	0.1696581833190842	-0.344491172317111
FUN_Podabacia_sinai	-0.0020880196001494856	-0.25030464874531094	0.02474754417503297
MER_Hydnophora_exesa	-0.15502761855408334	-0.22069410010861248	0.16207106928777562
MER_Hydnophora_microconos	0.19003743576952203	0.045019719349350625	0.012443926092158651
MER_Merulina_ampliata	-0.2938414789608417	-0.19168896742722638	-0.16676238081403097
MUS_Acanthastrea_echinata	-0.0891675977286797	0.11790079950558788	-0.06070542363692237
MUS_Acanthastrea_hillae	-0.3250764983943483	0.0004268420609539007	-0.20017504854622145
MUS_Lobophyllia	0.018598882644397935	-0.17098412519130815	0.12103579096588424
MUS_Lobophyllia_hemprichii	0.07047987443583065	0.006395944207199576	0.03160322686052763
MUS_Symphyllia	0.4828759700612732	0.30250904980105103	-0.07950848882920619
MUS_Symphyllia_radians	0.09338883199764587	0.05347114445713145	0.021238264270859702
Missing: Not collected	-0.03885555027184346	0.16492915357942156	0.052698095490608124
Not applicable	0.4667388597017137	-0.09618394389015683	-0.08426930663040008
OCU_Galaxea_astreata	0.22544728783742465	-0.11764179740021105	-0.07404832678309418
OCU_Galaxea_fascicularis	0.12654462143811962	0.06693001164778152	-0.06875406552442316
PEC_Echinophyllia_aspera	0.14484654215785986	0.03395291278187394	0.07292186271439584
PEC_Echinophyllia_orpheensis	0.30142428638153157	-0.11604723474411943	-0.08662504891727178
PEC_Mycedium_elephantotus	-0.48700081215600227	0.07100556494441712	-0.09796520247849304
PEC_Oxypora	1.0232075082464132	0.5984828708529089	0.0238975385701376
PEC_Pectinia_lactuca	-0.390393772562512	-0.04912390312451895	0.2049971453006552
POC_Pocillopora	-0.40966910153730274	0.017867529463632355	-0.1238660995398487
POC_Pocillopora_damicornis	-0.24219834112555566	-0.05643234311002647	0.03972826822038138
POC_Pocillopora_verrucosa	-0.2543666409247306	0.049521874560072	0.02296907456990592
POC_Seriatopora_hystrix	-0.2664285094167614	0.27194919159740966	-0.03037285931060006
POC_Stylophora	-0.2537994096980296	-0.07079981634643237	0.19418471263030107
POR_Alveopora	-0.0044050392651651515	-0.038414874127763475	-0.07258168122929234
POR_Goniopora	-0.34055544436697655	0.23627443550835825	0.054540085008132455
POR_Porites	0.07616251083356178	0.04118649734588002	0.20683265124017963
POR_Porites_cylindrica	0.000292353241596527	-0.1480693778993002	0.23850189862002477
POR_Porites_lichen	-0.32985222662709374	-0.100216939113765	0.06911225098785374
POR_Porites_lobata	0.15621623257249545	-0.12862389755962864	0.11164210553500079
POR_Porites_panamensis	0.5995419159447092	0.10753468587235389	-0.06962685726805452
SID_Psammocora	0.3446590535179304	-0.08515244675093014	-0.0876081953396846
SID_Psammocora_contigua	-0.24539830335234092	-0.1403288380534457	0.09288660351420902
SID_Psammocora_digitata	0.26111642962819875	-0.026103898637504452	0.42686020265165264
SID_Pseudosiderastrea_tayami	-0.08072991062234747	0.13289212556442773	0.07575977038045435
SID_Siderastrea_siderea	0.3772445119360614	0.06996353838750483	-0.2188198707043699
none	-0.055515347952722977	-0.08803838985192423	0.1118151407385818
