Huang_Roy_tree_name	skeleton_weighted_unifrac_ordination_PC1	skeleton_weighted_unifrac_ordination_PC2	skeleton_weighted_unifrac_ordination_PC3
ACR_Acropora	0.028923591451132286	-0.5848069982455812	0.2659880663639757
ACR_Acropora_cytherea	-0.42938872193747607	-0.3808528068383701	0.29550567406956785
ACR_Acropora_humilis	-0.0108245273691973	-0.2826666354635747	-0.0576419999461296
ACR_Acropora_hyacinthus	-0.5327030670556054	-0.8186049615883413	0.04799422558816628
ACR_Isopora_palifera	-0.30560973121965096	-0.19070889129092028	-0.04635515173074592
ACR_Montipora	-0.45797957424926083	-0.15666938828064553	0.39745680406863004
ACR_Montipora_aequituberculata	-0.42088905522471315	-0.44032015901633387	0.17534650855569459
ACR_Montipora_hispida	-0.5120265241739276	-0.8642632592234405	0.0972698094573232
AGA_Gardineroseris_planulata	0.11775006824899772	0.2559351590873667	-0.13946655057936813
AGA_Pachyseris	-0.25812211279695546	-0.4405912504142469	0.028079507581690075
AGA_Pavona	-0.04025498922447601	-0.007897782608835308	-0.13073262747211412
AGA_Pavona_clavus	-0.27964395293701794	0.051362999557804045	0.22035670955388037
AGA_Pavona_frondifera	1.008312660668468	0.0569383240866431	-0.1645274988048763
AGA_Pavona_varians	0.16404527256788323	0.2660424052551481	0.09769776916190889
AST_Stephanocoenia_intersepta	-0.40546050884982543	0.13563100660438138	0.21537382426877585
DEN	-0.056263320053958746	-0.19681620724427673	-0.2443675016621644
DEN_Dendrophyllia	0.2574667017268946	-0.1736528535955883	-0.24114262888671067
DEN_Tubastraea	0.7851478924251446	-0.0319637182256113	0.12917093843198924
DEN_Turbinaria	0.19186889788431652	-0.1124472928474139	-0.18859559742098952
EUP_Physogyra_lichtensteini	0.391756832778281	-0.009810979108760512	-0.2413363136694083
EUP_Plerogyra	0.9949777894503503	-0.005456829664944221	0.3576145967812945
FAV	-0.1576671097178345	0.3257076692286787	-0.32163183359956504
FAV_Caulastraea_furcata	0.2877486801781292	0.0373472276957434	-0.5699467629659738
FAV_Cyphastrea	0.2742335572181426	-0.0011148234555525	0.0297321111532728
FAV_Cyphastrea_micropthalma	-0.5148010862200274	0.16896161022296072	-0.011354056235609332
FAV_Diploastrea_heliopora	0.32891076224849614	0.2344316139888681	0.12017644597121489
FAV_Diploria_labyrinthiformis	0.0036032366632970936	0.4625503597508584	0.15889377409955074
FAV_Echinopora_horrida	-0.3775299975108294	-0.4047568361449047	-0.1058639120739583
FAV_Echinopora_lamellosa	-0.14976852752437905	-0.028620623225857234	-0.03302391842611106
FAV_Echinopora_mammiformis	-0.5018644004628914	0.22649658012718135	-0.2421792817534611
FAV_Favia_pallida	0.2480246253831089	0.3302726511660641	-0.1772610482087962
FAV_Favites	0.06570371628923455	0.31254401499269646	0.2201194537795444
FAV_Favites_abdita	-0.3902950107379817	0.29671007949159944	-0.2768859014834249
FAV_Goniastrea	0.6677653875759891	0.035266777061940605	-0.0035303450915750434
FAV_Goniastrea_edwardsi	-0.3198022164239391	0.0661656071379499	-0.379493156852245
FAV_Goniastrea_favulus	0.1693473148508577	0.41558501838550765	-0.3346040022038177
FAV_Leptastrea_transversa	0.5038035795020116	0.133566456365511	-0.0231855092223013
FAV_Leptoria_phrygia	0.02602744262104445	0.031554723131619986	0.2942521776557595
FAV_Montastraea_annularis	-0.4978268087508201	-0.28213775552687914	0.25305995659739033
FAV_Montastraea_cavernosa	-0.4967236846423615	-0.8146846150493157	0.176286687230291
FAV_Montastraea_curta	-0.3108330196770339	-0.04563010804027125	-0.5303112930180214
FAV_Montastraea_faveolata	-0.006059686168512268	0.4252346942092007	0.052666450661637415
FAV_Platygyra_daedalea	0.6880331644261839	0.16328348083454544	0.35548757778951057
FAV_Platygyra_sinensis	-0.5423444460695689	0.622913489199036	0.1672676879215408
FAV_Scolymia	0.3928767017926803	0.30109877515873584	0.3884198392926598
FUN	0.14649150345397066	-0.14784357104422494	0.07877909683864479
FUN_Ctenactis_echinata	-0.7025225523146303	0.3601253825684483	1.0577326820521915
FUN_Danafungia_scruposa	-0.4902629753466543	0.2069323522054045	0.7768815788319615
FUN_Herpolitha_limax	-0.3024532976362693	-0.3280147941161994	0.2593787744365481
FUN_Podabacia_sinai	-0.4106772753523966	0.1465255180944373	0.0863893029666011
MER_Hydnophora_exesa	-0.3327238171319111	-0.021078066457109426	-0.24910211115341105
MER_Hydnophora_microconos	0.7292381468670768	0.11056669972448545	-0.1031171555143396
MER_Merulina_ampliata	-0.5624536921423404	0.2315632011433782	-0.2414746750052686
MUS_Acanthastrea_echinata	0.23764832058408233	-0.036640834301427005	0.16125705088438197
MUS_Acanthastrea_hillae	-0.5365383482963023	-0.17923365796881227	-0.23115386829082965
MUS_Lobophyllia	-0.14194040094144053	0.3608227033540343	0.07693812008286703
MUS_Lobophyllia_hemprichii	0.26909917435111996	0.09037831206109205	-0.09386806452754852
MUS_Symphyllia	1.5554402018181328	-0.0888826210052883	-0.11617010459306829
MUS_Symphyllia_radians	0.0751366575230454	0.2525546086963682	0.7463837613466797
Missing: Not collected	0.42593698758506526	-0.090658036858341	0.10830027306803472
OCU_Galaxea_astreata	0.15463372593421593	0.17415100295015093	-0.22714311771533052
OCU_Galaxea_fascicularis	0.5046552549296285	0.0945698943945084	-0.18894180438282934
PEC_Echinophyllia_aspera	0.2241213652906114	-0.044187635935200635	0.03801213088194647
PEC_Echinophyllia_orpheensis	0.2096179014384503	0.1466177827423878	-0.3249424299077821
PEC_Mycedium_elephantotus	-0.5037506094283802	-0.0999945830215668	-0.1860016901487431
PEC_Oxypora	0.969155750314672	0.0326051022488464	-0.0004009577183057
POC_Pocillopora	-0.5438135220019742	-0.06601672130682308	-0.1997335220118291
POC_Pocillopora_damicornis	-0.3636247140270418	-0.027357627561320593	-0.08407492358474487
POC_Pocillopora_verrucosa	-0.15027967557144647	0.08785766563837748	-0.010498173807299407
POC_Seriatopora_hystrix	-0.38907190635970484	-0.4914312763802348	-0.11552858479697907
POC_Stylophora	-0.4482329164804557	-0.05308571960866834	-0.05312881315786766
POR_Alveopora	-0.1648823103735111	0.043651814777088904	-0.35386658134350124
POR_Goniopora	0.014677465632245229	-0.5471460574111806	0.04533236472053295
POR_Porites	0.21940609340152104	0.03443448802351247	-0.05208053111714238
POR_Porites_cylindrica	-0.1429472315366942	-0.07783053493703555	-0.21280443663513185
POR_Porites_lichen	-0.5454924100511813	0.3408471729613475	-0.1042865297543818
POR_Porites_lobata	0.09196908611124627	0.03672105164725513	-0.05485364117112147
POR_Porites_panamensis	0.5761743853724837	0.10005047050512828	-0.19556282912986975
SID_Psammocora	0.10229603388496494	0.1215591841967613	0.08470328043828
SID_Psammocora_contigua	-0.3395928907182798	0.0167197678980228	-0.0334949737622851
SID_Psammocora_digitata	0.7485224432798523	-0.0035212079521687	-0.2506858120604109
SID_Pseudosiderastrea_tayami	-0.29349534167086455	-0.4377905595277845	0.15760830866240724
SID_Siderastrea_siderea	-0.0976108635366448	-0.2193350489991493	-0.0790884484588057
none	-0.14163793748583134	0.11230672037607746	0.11343866502946237
