,Species,Huang_Roy_tree_name,Species_Code,Num_samples_microbe,Num_samples_genome,TIR_total,TIR_total_unique,IL1R,LRR_total,LRR_total_unique,TLR,IG_total,IG_total_unique,obs_asvs,ln_asvs,dominance,gini_index,simpson_e,Faith_pd,num_samples_mucus,obs_asvs_mucus,ln_asvs_mucus,dominance_mucus,gini_index_mucus,simpson_e_mucus,Faith_pd_mucus,num_samples_skeleton,obs_asvs_skeleton,ln_asvs_skeleton,dominance_skeleton,gini_index_skeleton,simpson_e_skeleton,Faith_pd_skeleton,num_samples_tissue,obs_asvs_tissue,ln_asvs_tissue,dominance_tissue,gini_index_tissue,simpson_e_tissue,Faith_pd_tissue,mucus_unweighted_unifrac_ordination_PC1,mucus_unweighted_unifrac_ordination_PC2,mucus_unweighted_unifrac_ordination_PC3,all_unweighted_unifrac_ordination_PC1,all_unweighted_unifrac_ordination_PC2,all_unweighted_unifrac_ordination_PC3,mucus_weighted_unifrac_ordination_PC1,mucus_weighted_unifrac_ordination_PC2,mucus_weighted_unifrac_ordination_PC3,skeleton_unweighted_unifrac_ordination_PC1,skeleton_unweighted_unifrac_ordination_PC2,skeleton_unweighted_unifrac_ordination_PC3,skeleton_weighted_unifrac_ordination_PC1,skeleton_weighted_unifrac_ordination_PC2,skeleton_weighted_unifrac_ordination_PC3,tissue_unweighted_unifrac_ordination_PC1,tissue_unweighted_unifrac_ordination_PC2,tissue_unweighted_unifrac_ordination_PC3,all_weighted_unifrac_ordination_PC1,all_weighted_unifrac_ordination_PC2,all_weighted_unifrac_ordination_PC3,tissue_weighted_unifrac_ordination_PC1,tissue_weighted_unifrac_ordination_PC2,tissue_weighted_unifrac_ordination_PC3
0,ACR_Acropora_hyacinthus,ACR_Acropora_hyacinthus,ACR,38,1,37,16,11,1299,426,8,1902,495,44.15789474,3.788,0.13472216,0.9804526,0.2187038,21.1351376,16,50.25,3.917010547,0.1134181,0.9542902,0.20921467,23.906673,10,30.6,3.421000009,0.1589334,0.9378456,0.229062,14.5247567,12,42.083333,3.739651772,0.1406558,0.955794,0.2419095,20.884041,-0.1049259153969121,-0.1971306021529424,-0.0530508967230814,-0.2977527838966657,-0.0447340700881869,-0.002823826303999,-0.3292447664919355,0.1721526884877275,-0.0030478203044474,0.3544597786308554,0.1350281306862722,0.1256854431010638,-0.5327030670556054,-0.8186049615883413,0.0479942255881662,0.3412925025649436,-0.125730063236303,0.0422629611324487,-0.654765342604925,0.2745779972047404,-0.0843540141018821,0.7054128596201806,-0.2054476544935148,-0.0905598832731224
1,ACR_Acropora_cytherea,ACR_Acropora_cytherea,ACR,10,1,33,17,10,1308,528,7,1903,548,37.3,3.619,0.2303354,0.9572117,0.175399,20.853458,2,42.0,3.737669618,0.0683547,0.833043,0.214606587,20.7749643,4,44.0,3.784189634,0.251201,0.92181716,0.1309568,25.763115,4,26.75,3.286534473,0.270885,0.8884855,0.2174134,14.880422,-0.1807821035990607,-0.0292507046259865,0.0351919981486208,-0.3098683950743168,-0.1151731061665396,0.0541265754356809,-0.4995963977238412,0.0879125157268319,-0.0279417140449543,0.2989977699844118,0.1047801196795075,0.0889643983778364,-0.429388721937476,-0.3808528068383701,0.2955056740695678,0.3538768441436825,-0.1422274470567415,0.0303990751356116,-0.5470861152445418,0.1731576363411177,0.1836835910494611,0.7023957714430689,-0.1124131928922079,-0.1880556147742457
2,POC_Pocillopora_damicornis,POC_Pocillopora_damicornis,POC,37,1,24,14,6,617,339,5,1139,409,78.91891892,4.368,0.22577838,0.98815769,0.16004573,37.61325,10,39.6,3.678829118,0.2027348,0.9515309,0.2110183,19.3050178,13,98.307623,4.588101572,0.1945355,0.970133,0.146355,45.153504,14,80.35714286,4.386480985,0.2581401,0.9731774,0.15760465,41.369053,-0.1537505009297861,-0.0058958221148122,0.0135686113219444,-0.1046480049457036,0.0336232384957992,-0.0027602637449855,-0.3142361664166277,-0.0375291919171737,0.0568219390078171,0.1409518557113721,0.0071654684952212,0.0288503381252827,-0.3636247140270418,-0.0273576275613205,-0.0840749235847448,0.0787970185167504,0.0517052270572014,-0.0193437413395529,-0.2421983411255556,-0.0564323431100264,0.0397282682203813,0.2059242334848413,0.1042356032009334,0.0362478105292766
3,POC_Pocillopora_verrucosa,POC_Pocillopora_verrucosa,POC,15,1,28,17,7,1312,838,7,2412,874,79.0,4.369,0.147049867,0.971948997,0.162618005,37.3225277,5,58.6,4.070734697,0.0908488,0.9126148,0.2246208,31.11627,6,83.83333,4.428830661,0.1802693,0.947264,0.10780438,38.92956,4,86.0,4.454347296,0.182461,0.897345,0.1726574,41.121475,-0.0544526574094235,0.0079410305471834,0.1964312754999348,-0.1460489291730547,-0.0018550082552988,0.0751133424377838,-0.3494525694996667,0.0982762481252238,0.160342198104711,0.1505581479662034,0.0957709502275186,0.0006420838124707,-0.1502796755714464,0.0878576656383774,-0.0104981738072994,0.2060973866703664,-0.0090436302401258,-0.0454027500270931,-0.2543666409247306,0.049521874560072,0.0229690745699059,0.4457504280145989,-0.1324192726650501,0.0801213472344506
4,MER_Orbicella_faveolata,FAV_Montastraea_faveolata,MER,9,1,27,15,7,675,287,6,1499,439,88.55555556,4.484,0.09117578,0.9424041,0.176430136,42.9656356,2,58.0,4.060443011,0.094403,0.8370485,0.1961733,28.99862,4,65.75,4.185859671,0.118965,0.91111702,0.1664092,35.04986,3,133.66667,4.895349164,0.04870667,0.8599755,0.180903897,60.215957,-0.1361312766650093,0.0613415766225089,0.1180596355169152,-0.0361432660663166,0.044714352095868,-0.0050354308093931,-0.2808573907436764,-0.0890074370553045,0.143251460697809,0.1060397910598735,-0.1056175914219542,-0.2091576565838638,-0.0060596861685122,0.4252346942092007,0.0526664506616374,-0.0035739054784495,0.0494788297563639,-0.1360168915963958,0.13094293936711,-0.0504247879057908,0.058492572402022,-0.1408361162781063,-0.2205088573874215,-0.0993796410879585
5,POC_Stylophora,POC_Stylophora,POC,25,1,23,16,8,968,549,6,2014,784,69.12,4.236,0.30596752,0.981996723,0.131104952,35.52586506,7,90.857143,4.509288416,0.1810894,0.9446944,0.1624439,44.37928,11,68.36363,4.224840958,0.2334736,0.96119986,0.139909,36.8883,7,50.28571,3.917720941,0.536484,0.950429,0.1015593,28.399778,-0.0138457763516961,-0.0149143480833449,0.0498705902383689,-0.1425896248687231,0.0491719333519823,-0.006037171384021,-0.1170283405335181,-0.0372100335095349,0.1141597320630623,0.2200794993266253,-0.0095117308278285,0.0249273224982412,-0.4482329164804557,-0.0530857196086683,-0.0531288131578676,0.2202348308661874,0.0372449161886787,0.0609014995480129,-0.2537994096980296,-0.0707998163464323,0.194184712630301,0.2858200312331513,0.4812666921925192,-0.2852632467357166
6,OCU_Galaxea_fascicularis,OCU_Galaxea_fascicularis,OCU,23,1,19,15,3,585,373,1,1162,561,193.6956522,5.266,0.09547887,0.975078239,0.178356538,78.96752265,9,75.1111,4.318968351,0.132576,0.9524692,0.2136283,40.348385,6,269.0,5.59471138,0.04284967,0.9099489,0.1988546,103.0326,8,259.375,5.558274891,0.089594,0.9382797,0.1388768,100.56278,-0.0027250878311234,-0.0004666234524255,0.0982241867041136,0.0658638803420083,0.0050055073067117,0.0376820426500081,-0.0906053661514259,0.1045115270987919,0.0316310221727599,-0.1664599259495385,0.0034887148836161,0.0224185201261251,0.5046552549296285,0.0945698943945084,-0.1889418043828293,-0.1411437885690236,-0.0182592370868371,-0.0161881991426211,0.1265446214381196,0.0669300116477815,-0.0687540655244231,-0.2906329472618729,-0.0369323067299096,-0.0348935315021838
7,POR_Porites_lutea,POR_Porites_lichen,POR,2,1,36,24,14,1010,454,8,2218,641,55.5,4.016,0.15984,0.862717172,0.137399991,28.305678,1,44.0,3.784189634,0.030575,0.8246945,0.2069484,17.20405,1,62.0,4.127134385,0.219392,0.783871,0.073516957,40.47228,3,64.333,4.164072719,0.58982467,0.94734496,0.0316658,37.73459,-0.2287346434145998,0.1056904233491155,0.1475681873644799,-0.2123198732432448,-0.046268513563878,0.1093657270252382,-0.3857618881017034,-0.1298372584501706,0.2293795321645502,0.1891909872209346,0.0486996897757415,0.013473984359519,-0.5454924100511813,0.3408471729613475,-0.1042865297543818,,,,-0.3298522266270937,-0.100216939113765,0.0691122509878537,,,
8,FUN_Fungia_fungites,FUN_Danafungia_scruposa,FUN,3,1,32,17,7,959,536,8,2062,749,73.66667,4.3,0.33417733,0.873,0.1388551,43.6192435,1,73.0,4.290459441,0.076034,0.7070959,0.1801645,38.64682,1,42.0,3.737669618,0.25883,0.8130476,0.091989,27.12324,1,86.0,4.454347296,0.072096,0.7173953,0.16128366,45.698669,0.0913705412998125,-0.0902280874108011,0.0794141573324729,-0.0936186919005091,0.1234876251314878,0.0499221114612855,-0.3828414799585243,0.2098162272943522,0.0205703989409668,0.25738285872792,0.0243633302354931,0.0057827194414481,-0.4902629753466543,0.2069323522054045,0.7768815788319615,0.1192373141741718,0.0761509013432067,-0.1972431092415236,-0.396966832382345,0.0144598862787925,0.0711975571642726,0.568905585650581,-0.3805624863605681,-0.0081535810465948
9,ACR_Montipora_capitata,ACR_Montipora,ACR,6,1,27,18,5,849,612,1,1357,747,56.5,4.034,0.224815667,0.9503102,0.15887883,30.415715,3,48.3333,3.878120764,0.13121267,0.87949,0.200732,27.79943,2,83.0,4.418840608,0.402949,0.9061635,0.05597977,41.48227,1,28.0,3.33220451,0.149358,0.6847143,0.23911867,16.131439,-0.1291380604715155,0.0814817391131571,0.0641454810282405,-0.192378276602691,-0.0515013538655294,0.0498501927907801,-0.333260944755209,-0.0224913164157946,0.1851070827379314,0.1085006142691937,0.0254988559214109,0.0509553633092088,-0.4579795742492608,-0.1566693882806455,0.39745680406863,0.3917299497204086,-0.1789356594123282,-0.0916491403911285,-0.4839899011401045,0.1175659414986179,0.0381005528277928,0.7425645589520519,-0.2655193948891529,-0.072977021013719
10,POR_Porites_rus,POR_Porites,POR,15,1,29,21,6,817,519,2,1545,764,114.266667,4.739,0.2966783,0.972101117,0.171970255,40.9412461,5,74.4,4.309455942,0.367732,0.9271121,0.1518828,36.25036,5,183.4,5.21166956,0.04785,0.9214002,0.176171,76.90953,5,85.0,4.442651256,0.474453,0.9219144,0.187857,36.66385,-0.048141595129482,0.0442150900998028,-0.0408004388966651,-0.0024920127218832,-0.0226627798406361,-0.0425426270863719,0.0654723904483668,-0.1858292696658164,-0.116927083305509,-0.0850548463835196,-0.0005407776194799,0.0213918579955481,0.219406093401521,0.0344344880235124,-0.0520805311171423,0.0481282752823324,-0.003004460138081,0.166273121072953,0.0761625108335617,0.04118649734588,0.2068326512401796,0.0277655891492323,0.4378146400686862,-0.4659967491773523
